id,fiscal_year,approved_date,program,entity_name,company_id,county,award_type,capital_investment_usd,jobs_promised,avg_wage_promised_usd,statutory_wage_usd,sut_abatement_usd,sut_years,personal_property_abatement_usd,pp_years,total_abatement_reported_usd,status,verification,primary_source_id,source_page,notes
fy2016-switch-2,2016,2015-07,nrs-360-754,"Switch, LTD #2",switch,Storey,new,1386677024,50,28.98,,75720025,20,32095728,10,,active,primary,goed-biennial-2025,54,
fy2016-switch-3,2016,2015-07,nrs-360-754,"Switch, LTD #3",switch,Clark,expansion,1360611504,50,28.98,,80868156,20,27828306,10,,active,primary,goed-biennial-2025,54,
fy2016-rackspace,2016,2015-09,nrs-360-754,Rackspace US Inc.,rackspace,Washoe,new,422000000,50,29.75,,23062300,20,10508264,10,,withdrawn,primary,goed-biennial-2025,54,"Withdrew after approval. Confirmed by the FY2016 post-withdrawal totals, which fall by exactly this row's capital investment, jobs, SUT and personal property figures."
fy2016-viawest,2016,2016-05,nrs-360-754,Via West,viawest,Clark,expansion,49278038,10,31.90,,2799193,10,986570,10,,active,primary,goed-biennial-2025,54,10-year SUT term implies the lower $25M capital investment tier.
fy2018-mecp1-reno-1,2018,2018-03,nrs-360-754,"MECP1 Reno 1, LLC",edgecore,Storey,new,331825000,50,23.66,,18582200,20,7690122,10,,active,primary,goed-biennial-2025,54,
fy2019-design-clark,2019,2018-11,nrs-360-754,"Design, LLC",google,Clark,new,300000000,50,31.25,,18750000,20,6487000,10,,active,primary,goed-biennial-2025,55,
fy2021-design-storey,2021,2020-09,nrs-360-754,"Design, LLC",google,Storey,new,300000000,50,31.29,,16800000,20,8254937,10,,active,primary,goed-biennial-2025,55,Award type differs between the two biennial reports. See discrepancies.csv.
fy2022-novva-clark,2022,2022-06,nrs-360-754,"Novva Holdings, LLC",novva,Clark,new,119037375,11,30.60,,13465771,10,1817673,10,,active,primary,goed-biennial-2025,55,
fy2024-novva-reno,2024,2023-09,nrs-360-754,"Novva Reno, LLC",novva,Storey,new,236989692,13,32.55,28.14,20775423,10,5764590,10,26540013,active,primary,goed-packet-novva-reno,1,"Entity name and county taken from the GOED board packet, which supersedes the biennial report. 300,000 sq ft facility. Application predates 2023-07-01 so the FY2023 statewide average wage applied."
fy2024-vantage-nv11,2024,2024-03,nrs-360-754,"Vantage Data Centers NV11, LLC",vantage,Storey,new,150000000,10,59.62,29.28,8400000,10,3131616,10,11531616,active,primary,goed-packet-vantage-nv11,1,"Entity name from the board packet. The biennial report prints ""MN11"". Closed-loop cooling; company established in Nevada 2023-07-25; operations expected Q4 2026."
fy2025-vantage-nv12,2025,2024-11,nrs-360-754,"Vantage Data Centers NV12, LLC",vantage,Storey,new,254000000,10,64.20,32.51,14224000,10,5050000,10,19274000,active,primary,goed-packet-vantage-nv12,1,"Approved 2024-11-14. Falls after the FY2023-24 biennial report, so not yet in any biennial report."
fy2027-colovore-reno-1,2027,2026-08,nrs-360-754,"Colovore Reno 1, LLC",colovore,Storey,new,,10,59.00,,,,,,4076970,active,secondary,nevbex-2026-08,,"Reported in trade press only; the abatement split between sales and use tax and personal property tax is not yet published. Located in the Tahoe Reno Industrial Center. Needs confirmation against the GOED board packet."
