fiscal_year,scope,statutory_capex_usd,statutory_jobs,statutory_wage_usd,projected_capex_usd,projected_jobs,projected_wage_usd,audited_capex_usd,audited_jobs,audited_wage_usd,total_partial_abatements_usd,audit_state
2010,"standard, aviation and data center abatements (participating and compliant)",5346110,212,19.91,50078864,286,14.98,24556607,561,16.36,4735769,complete
2011,"standard, aviation and data center abatements (participating and compliant)",12494819,245,19.75,189375229,233,18.30,169541322,373,23.03,15838180,complete
2012,"standard, aviation and data center abatements (participating and compliant)",10639584,488,19.62,519544516,562,19.65,796692119,910,23.83,71904428,complete
2013,"standard, aviation and data center abatements (participating and compliant)",41078810,558,20.02,206804223,531,21.26,198940814,760,24.83,21111566,complete
2014,"standard, aviation and data center abatements (participating and compliant)",31081493,866,20.16,278180281,2781,16.01,257455552,3253,20.45,27010927,complete
2015,"standard, aviation and data center abatements (participating and compliant)",76788590,568,20.56,322752682,1352,19.25,176394305,3148,21.94,31195258,complete
2016,"standard, aviation and data center abatements (participating and compliant)",249265048,531,20.71,3463905885,1044,21.18,751351681,1404,34.01,283247209,complete
2017,"standard, aviation and data center abatements (participating and compliant)",37148610,833,21.09,199401612,2932,18.58,126322384,2529,35.35,20744562,complete
2018,"standard, aviation and data center abatements (participating and compliant)",16618588,300,21.64,77086892,579,25.48,51103097,802,31.73,7293804,complete
2019,"standard, aviation and data center abatements (participating and compliant)",102854,6,21.95,4270434,6,21.95,2145537,55,26.64,377812,complete
2020,"standard, aviation and data center abatements (participating and compliant)",,,,,,,,,,,pending
2021,"standard, aviation and data center abatements (participating and compliant)",,,,,,,,,,,pending
2022,"standard, aviation and data center abatements (participating and compliant)",,,,,,,,,,,pending
