jurisdiction,fiscal_year,program,amount_usd,source_id,notes
City of Reno,2017,data-center,47833,reno-goed-memo-2025,
City of Reno,2018,data-center,720161,reno-goed-memo-2025,
City of Reno,2019,data-center,9608,reno-goed-memo-2025,
City of Reno,2020,data-center,60741,reno-goed-memo-2025,
City of Reno,2021,data-center,73266,reno-goed-memo-2025,
City of Reno,2022,data-center,93739,reno-goed-memo-2025,
City of Reno,2023,data-center,7319184,reno-goed-memo-2025,Largest single-year data center redemption in the series.
City of Reno,2024,data-center,286949,reno-goed-memo-2025,
City of Reno,2017,aviation,42174,reno-goed-memo-2025,
City of Reno,2018,aviation,51848,reno-goed-memo-2025,
City of Reno,2019,aviation,66223,reno-goed-memo-2025,
City of Reno,2020,aviation,97451,reno-goed-memo-2025,
City of Reno,2021,aviation,69430,reno-goed-memo-2025,
City of Reno,2022,aviation,49796,reno-goed-memo-2025,
City of Reno,2023,aviation,19038,reno-goed-memo-2025,
City of Reno,2024,aviation,51850,reno-goed-memo-2025,
City of Reno,2017,standard,2398710,reno-goed-memo-2025,
City of Reno,2018,standard,1036445,reno-goed-memo-2025,
City of Reno,2019,standard,1649561,reno-goed-memo-2025,
City of Reno,2020,standard,1187144,reno-goed-memo-2025,
City of Reno,2021,standard,2763572,reno-goed-memo-2025,
City of Reno,2022,standard,881902,reno-goed-memo-2025,
City of Reno,2023,standard,575924,reno-goed-memo-2025,
City of Reno,2024,standard,332397,reno-goed-memo-2025,
City of Reno,2024,large-scale,443,reno-goed-memo-2025,"The single data center company qualifies for both programs; a small portion of its redemptions is classified here."
