source_id,title,publisher,doc_type,published,retrieved,url,notes
goed-biennial-2023,"GOED Biennial Report to the Legislature of Abatements from Taxation (NRS 231.0685), FY2010-FY2022","Nevada Governor's Office of Economic Development",report,2023-01-17,2026-08-23,https://www.leg.state.nv.us/Division/Research/Documents/RTTL_NRS231.0685_2023.pdf,"77pp. Data center tables pp.48-49 (report pp.43-44); audit tables from p.53."
goed-biennial-2025,"GOED Biennial Report to the Legislature of Abatements from Taxation (NRS 231.0685), FY2023-FY2024","Nevada Governor's Office of Economic Development",report,2025-01-15,2026-08-23,https://goed.nv.gov/wp-content/uploads/2025/01/NRS-231.0685-GOED-Biennial-Report-2023-24.pdf,"74pp. NRS 360.754 tables pp.54-56 (report pp.48-50). Supersedes goed-biennial-2023 where they conflict."
goed-dc-program-2025,"Nevada Data Center Tax Abatements NRS 360.754 (program summary)","Nevada Governor's Office of Economic Development",program-summary,2025-08-01,2026-08-23,https://goed.nv.gov/wp-content/uploads/2025/08/Data-Center-2026.pdf,"Statutory thresholds and terms. States FY26 statewide average wage of $31.57."
goed-packet-vantage-nv11,"Board Packet: Vantage Data Centers NV11, LLC","Nevada Governor's Office of Economic Development",board-packet,2024-03-21,2026-08-23,https://goed.nv.gov/wp-content/uploads/2024/03/8-B.-Vantage-Data-Centers-NV11-LLC-Board-Packet.pdf,"18pp. Includes EDAWN support letter and NRS 231.069 confidentiality request for capex and employment schedules."
goed-packet-vantage-nv12,"Board Packet: Vantage Data Centers NV12, LLC","Nevada Governor's Office of Economic Development",board-packet,2024-11-14,2026-08-23,https://goed.nv.gov/wp-content/uploads/2024/11/8-A.-Vantage-Data-Centers-NV12-LLC-Board-Packet.pdf,19pp.
goed-packet-novva-reno,"Board Packet: Novva Reno, LLC","Nevada Governor's Office of Economic Development",board-packet,2024-01-01,2026-08-23,https://goed.nv.gov/wp-content/uploads/2024/01/7-C.-Novva-Reno-LLC-Board-Packet-1-1.pdf,"13pp. Application dated 2023-09-12. Identifies the project as Storey County, 300,000 sq ft."
goed-pr-vantage-nv12,"Data center plans to invest $254 million and generate $76 million in tax revenue","Nevada Governor's Office of Economic Development",press-release,2024-11-14,2026-08-23,https://goed.nv.gov/newsroom/data-center-plans-to-invest-254-million-and-generate-76-million-in-tax-revenue/,
lcb-datacenters-2026,"Data Centers - Background Information (memo to JISC NR and JISC GI)","Nevada Legislative Counsel Bureau, Research Division",legislative-memo,2026-03-20,2026-08-23,https://www.leg.state.nv.us/App/InterimCommittee/REL/Document/32531,"7pp. Facility inventory by county, water and energy figures, regulatory landscape."
reno-goed-memo-2025,"Governor's Office of Economic Development Abatements Overview (memo to Mayor and City Council)","City of Reno, Office of Policy and Strategy",municipal-memo,2025-09-02,2026-08-23,https://www.reno.gov/Documents/Government/Departments/Finance/Property%20Tax/Governors%20Office%20of%20Economic%20Development%20GOED%20Abatements%20Overview.pdf,"Redeemed-abatement actuals from City of Reno ACFRs FY2017-FY2024. Identifies Apple Inc. as the Washoe County data center."
tni-dc-analysis,"Have data center tax breaks helped Nevada's economy? Here's what we found","The Nevada Independent",news-investigation,2025-01-01,2026-08-23,https://thenevadaindependent.com/article/have-data-center-tax-breaks-helped-nevadas-economy-heres-what-we-found,"By Eric Neugeboren. Reports 3 of 13 active abatements audited as of Jan 2025; ~$1.5M abatement per permanent job."
tni-dc-disclosure,"Nevadans get few details into data centers receiving tax breaks - and it might be illegal","The Nevada Independent",news-investigation,2025-01-01,2026-08-23,https://thenevadaindependent.com/article/nevadans-get-few-details-into-data-centers-receiving-tax-breaks-and-it-might-be-illegal,
nnbw-2018-03,"Bitcoin mining tech company among state-approved business applications","Northern Nevada Business Weekly",news,2018-03-19,2026-08-23,https://www.nnbw.com/news/2018/mar/19/bitcoin-mining-tech-company-among-state-approved-b/,"Contemporaneous coverage of the March 2018 GOED board meeting; attributes MECP1 Reno 1, LLC to EdgeCore."
nevbex-2026-08,"Governor's Office of Economic Development Announces Tax Abatements (nine companies)",NVBEX,news,2026-08-13,2026-08-23,https://nevbex.com/2026/08/13/nevada-goed-tax-abatements-nine-companies/,"Reports Colovore Reno 1 LLC abatement of $4.08M in Storey County. Six of nine companies unnamed in the article."
gjf-datacenters,"Cloudy with a Loss of Spending Control: How Data Centers Are Endangering State Budgets",Good Jobs First,research-report,2025-01-01,2026-08-23,https://goodjobsfirst.org/cloudy-with-a-loss-of-spending-control-how-data-centers-are-endangering-state-budgets/,"National context. Reports local-government sales and use tax losses in Nevada."
